RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
48,144208626,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Active,62,active agonist,active agonist,51.52630394,938.7004889,inconclusive antagonist,53.5421,-37.8029,SigmaAldrich
49,170466862,11219835,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,Active,61,active agonist,active agonist,0.004466158,59.72380546,inactive,,0,Selleck
50,144211013,73672,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,Active,61,active agonist,active agonist,3.308685407,173.6942484,inactive,,0,SIGMA
51,170466897,135565635,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N,Active,61,active agonist,active agonist,4.73079441,189.3686363,active antagonist,0.491587,-42.8658,Tocris
52,144212218,20848,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],Active,61,active agonist,active agonist,6.600726558,212.5532269,inconclusive antagonist,,,LightBiologicals
53,170466192,42725,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)N,Active,61,active agonist,active agonist,13.85481535,294.9710036,active antagonist,10.5909,-37.7152,Specs
54,170464773,92727,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,Active,61,active agonist,active agonist,16.78549199,324.1074896,active antagonist,25.6016,-81.2111,Bosche
55,170466848,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Active,61,active agonist,active agonist,29.84929478,496.3526409,inactive,,0,Vitas
56,170465145,119182,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,Active,60,active agonist,active agonist,0.721551625,112.331949,inactive,,0,Sequoia
57,144208178,11990,C1=CC=C(C(=C1)N)N.Cl.Cl,Active,60,active agonist,active agonist,3.518185651,165.7075614,active antagonist,1.29714,-46.1997,Alfa Aesar
58,144211781,67277,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=CC(=CC=C3)[N+](=O)[O-])O,Active,60,active agonist,active agonist,5.661416092,199.0778353,active antagonist,4.32771,-62.2621,LightBiologicals
59,144208772,73672,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,Active,60,active agonist,active agonist,7.14905042,213.7609874,inactive,,0,SigmaAldrich
60,170466008,119583,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,60,active agonist,active agonist,8.412674293,222.0800449,active antagonist,28.7255,-41.8679,Vitas
61,144212741,20906,C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC(=C2)Br)Br)O)C(F)(F)F,Active,60,active agonist,active agonist,11.73793613,262.9192253,active antagonist,1.86034,-58.8756,MP Biomedicals
62,144208876,2724385,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,Active,59,active agonist,active agonist,0.038610007,68.05358708,inconclusive antagonist,0.0229985,-32.6944,SIGMA
63,144211071,6327657,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O,Active,59,active agonist,active agonist,0.121971512,80.56546421,active antagonist,0.165803,-93.3978,SIGMA
64,144209427,24633,[Cl-].[Cl-].[Cd+2],Active,59,active agonist,active agonist,0.151861049,82.91499013,active antagonist,1.21102,-109.317,SIGMA
65,170465390,3062316,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,Active,59,active agonist,active agonist,0.161535288,84.63624386,active antagonist,8.09594,-59.3156,Selleck
66,144211050,12932,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,Active,59,active agonist,active agonist,0.588290374,100.9506731,active antagonist,63.5221,-74.7753,SIGMA
67,144209719,2724411,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Active,59,active agonist,active agonist,0.968854161,113.3219357,active antagonist,1.42208,-99.4674,Sensient
68,170466561,4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,Active,59,active agonist,active agonist,1.439684765,127.8210277,inactive,,0,SigmaAldrich
69,170465575,71386,CCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(CC(=O)[C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)C)C)C(=O)CCl,Active,59,active agonist,active agonist,2.764399094,147.9091991,inactive,,0,SIGMA
70,170465867,5282138,CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,Active,59,active agonist,active agonist,6.943856576,203.681643,active antagonist,29.8493,-47.0285,Prestwick
71,144210547,9882837,C1C2C(C3=C1C=C(C=C3)Cl)(N=C(S2)C4=CC=CC=C4)O,Active,59,active agonist,active agonist,16.58027548,293.6924895,inconclusive antagonist,54.4827,-58.4159,Pharma
72,144211774,18980,C1=CC=C2C(=C1)C(=NC2=N)N,Active,59,active agonist,active agonist,24.33651622,368.1299702,active antagonist,20.8733,-71.0477,LightBiologicals
73,144211703,91593,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)CC4=CC=C(C=C4)N(CC5CO5)CC6CO6,Active,59,active agonist,active agonist,34.37624287,492.7979211,active antagonist,56.6142,-88.8584,SIGMA
74,170466457,71750,C1C2=C(C=CC(=C2)N)N=C3N1C(=O)C4=CC=CC=C43,Active,58,active agonist,active agonist,0.11577365,74.02084907,active agonist,12.99,69.862,GVK
75,144207253,6537495,CC(=O)[O-].CC(=O)[O-].O.O.[Cd+2],Active,58,active agonist,active agonist,0.145670494,78.30216066,active antagonist,3.65908,-114.755,Spectrum Chemical
76,144212112,16683072,CCCC[Sn](CCCC)(CCCC)OC(=O)C=C,Active,58,active agonist,active agonist,0.524314347,95.20824479,active antagonist,0.863492,-95.9369,Sigma DiscoveryCPR
77,144211139,91776,CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,Active,58,active agonist,active agonist,0.897273982,108.2811594,inactive,,0,Chemservice
78,144209672,31426,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+](=O)[O-],Active,58,active agonist,active agonist,1.625873835,119.1031552,active antagonist,4.08401,-78.1231,SIGMA
79,144206432,65494,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,58,active agonist,active agonist,2.945438098,140.4222838,active antagonist,54.4273,-71.7301,RTI
80,170465580,5311217,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C)C,Active,58,active agonist,active agonist,3.904817509,155.4378084,active antagonist,32.2305,-83.7438,Sequoia
81,144211463,11826859,CC(C)(C(=O)OCC=C)OC(=O)C1=C(C=CC(=C1)N2C(=O)C=C(N(C2=O)C)C(F)(F)F)Cl,Active,58,active agonist,active agonist,3.93065865,151.4732685,inactive,,0,SIGMA
82,144209022,27189,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,Active,58,active agonist,active agonist,4.362944907,162.0688401,inconclusive antagonist,65.2799,-43.6237,SigmaAldrich
83,144211011,34469,CCCN(CCC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],Active,58,active agonist,active agonist,4.658703694,167.5441404,active antagonist,52.2715,-119.629,Chemservice
84,144209196,1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,Active,58,active agonist,active agonist,5.091958929,167.9249186,active antagonist,1.39149,-44.9957,SIGMA
85,144210937,1345,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,Active,58,active agonist,active agonist,5.584792979,178.1322242,active antagonist,41.0841,-38.2449,SIGMA
86,144208977,6505,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,Active,58,active agonist,active agonist,8.086503521,195.448728,inactive,,0,SIGMA
87,144206849,34051,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=C(CCC3)C=C2,Active,58,active agonist,active agonist,8.095942388,200.6708167,inactive,,0,Pharmaron
88,144212390,14385,C1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)Cl)Cl)O)Cl)Cl,Active,58,active agonist,active agonist,31.83648228,440.462244,active antagonist,4.00798,-60.7366,Acros
89,170465220,134018,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,Active,57,active agonist,active agonist,0.072155162,66.25039018,inactive,,0,Tocris
90,144210118,135408753,C1=CC=C2C(=C1)C(=O)NC=N2,Active,57,active agonist,active agonist,0.316062501,84.67166792,inactive,,0,SIGMA
91,144208824,15096,CCCC[Sn](CCCC)(CCCC)Cl,Active,57,active agonist,active agonist,0.357937861,85.95156352,active antagonist,0.437953,-101.479,SigmaAldrich
92,144212639,299728,C1=CC=C(C=C1)[Bi](C2=CC=CC=C2)(C3=CC=CC=C3)(Cl)Cl,Active,57,active agonist,active agonist,0.430131963,85.53859815,active antagonist,1.92133,-104.9,TCI
