CID,SMILES,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),SMILES_raw
20965.0,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,active,25.28861679,80.65047636,inactive,,0.0,CCOP(=S)(OCC)OC1=CC(=C(C=C1Cl)Br)Cl
14589.0,O=C1c2ccccc2CCc2ccccc21,active,25.60161774,95.90620215,inactive,,0.0,C1CC2=CC=CC=C2C(=O)C3=CC=CC=C31
6623.0,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,active,26.01846122,97.41131811,inactive,,0.0,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
29216.0,CNC(=O)N(C)c1nc2ccccc2s1,active,26.27796574,118.4426673,inactive,,0.0,CNC(=O)N(C)C1=NC2=CC=CC=C2S1
5377791.0,CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,active,26.27796574,87.84823769,inactive,,0.0,CCOP(=O)(OCC)O/C(=C/Cl)/C1=C(C=C(C=C1)Cl)Cl
75146.0,Nc1ccc(Nc2ccccc2)cc1,active,27.00084858,91.40946471,inactive,,0.0,C1=CC=C(C=C1)NC2=CC=C(C=C2)N.Cl
3293.0,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,active,27.16723503,104.2130226,inactive,,0.0,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C
10407399.0,CC(C)(O)c1ccc(CNC(=O)c2cccnc2Oc2ccc(F)cc2)cc1,active,27.3060203,102.2802091,inactive,,0.0,CC(C)(C1=CC=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC=C(C=C3)F)O
25152.0,O=C1c2ccccc2C(=O)C1c1nc2ccccc2c(Br)c1O,active,27.3060203,97.4757377,inactive,,0.0,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=CC=CC=C4C(=C3O)Br
11140605.0,CCc1cccc(C)c1N(C(=O)CCl)[C@@H](C)COC,active,27.3060203,90.8856917,inactive,,0.0,CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)CCl)C
86013.0,CCOc1ccc2c(c1)C(C)CC(C)(C)N2,active,27.3060203,90.53122234,inactive,,0.0,CCOC1=CC2=C(C=C1)NC(CC2C)(C)C
79633.0,CC(C)c1ccc2sc3ccccc3c(=O)c2c1,active,27.3060203,263.9995924,inactive,,0.0,CC(C)C1=CC2=C(C=C1)SC3=CC=CC=C3C2=O
9568078.0,Cc1ccc(C=Nn2c(-c3ccccc3)csc2=S)cc1,active,27.64399095,81.32768895,inactive,,0.0,CC1=CC=C(C=C1)/C=N/N2C(=CSC2=S)C3=CC=CC=C3
6772.0,C=Cc1ccc2c(O)c3ccccc3c(O)c2c1,active,28.37429473,123.7101924,inactive,,0.0,CCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O
26124.0,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,active,28.37429473,103.4272394,inactive,,0.0,CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1
5280373.0,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,active,28.37429473,98.08937239,inactive,,0.0,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O
5954.0,c1ccc2cc3c(ccc4ccccc43)cc2c1,active,28.37429473,84.25009911,inactive,,0.0,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32
36870.0,CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,active,28.37429473,87.11720303,inactive,,0.0,CCCSP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl
11767.0,O=[N+]([O-])c1c2ccccc2cc2ccccc12,active,28.61275215,112.975023,inactive,,0.0,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2[N+](=O)[O-]
33360.0,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,active,29.21471187,87.59234383,inactive,,0.0,CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C
11442.0,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,active,29.22438931,116.9570366,inactive,,0.0,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C
29307.0,CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1,active,29.4843625,140.1737616,inactive,,0.0,CCOP(=S)(OCC)OC1=NOC(=C1)C2=CC=CC=C2
54886.0,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,active,29.4843625,98.2496647,inactive,,0.0,CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C
76302.0,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,active,29.4843625,86.87220978,inactive,,0.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C(Cl)(Cl)Cl)O
9690.0,O=C(Nc1ccc2c(c1)Cc1ccccc1-2)C(F)(F)F,active,29.4843625,82.83889872,inactive,,0.0,C1C2=CC=CC=C2C3=C1C=C(C=C3)NC(=O)C(F)(F)F
10680.0,O=c1cc(-c2ccccc2)oc2ccccc12,active,29.76723714,251.9451229,inactive,,0.0,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2
6636.0,O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,active,30.63785869,101.6248165,inactive,,0.0,C1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)Cl
17279.0,N#Cc1cc2ccccc2c2ccccc12,active,30.79371036,84.60111315,inactive,,0.0,C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)C#N
86296.0,CC#Cc1cc(C)nc(Nc2ccccc2)n1,active,31.80410897,108.2353335,inactive,,0.0,CC#CC1=NC(=NC(=C1)C)NC2=CC=CC=C2
1539.0,Nc1ccc2c(c1)Cc1ccccc1-2,active,32.88024536,109.2360069,inactive,,0.0,C1C2=CC=CC=C2C3=C1C=C(C=C3)N
91753.0,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,active,33.04835899,140.8900784,inactive,,0.0,CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3
86398.0,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,active,34.37624285,88.12251535,inactive,,0.0,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N
7264.0,Cc1ccc(O)c(N)c1,active,34.41120471,107.9669128,inactive,,0.0,CC1=CC(=C(C=C1)O)N
22086.0,COc1cc2c(cc1N)oc1ccccc12,active,35.11167993,97.81263267,inactive,,0.0,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)N
8679.0,c1ccc(Nc2ccc3ccccc3c2)cc1,active,35.50327227,145.8443728,inactive,,0.0,C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2
40301.0,Nc1nc(-c2ccccc2)cs1,active,35.61216871,125.4309176,inactive,,0.0,C1=CC=C(C=C1)C2=CSC(=N2)N.O.Br
9502.0,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,active,35.72112067,89.71708225,inactive,,0.0,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC
5284341.0,Nc1ccc(-c2ccccc2)cc1,active,35.72112067,85.55454293,inactive,,0.0,C1=CC=C(C=C1)C2=CC=C(C=C2)N.Cl
74062.0,Brc1c2ccccc2cc2ccccc12,active,36.08469346,89.45775717,inactive,,0.0,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2Br
98613.0,NNc1nc(-c2ccccc2)cs1,active,36.7406629,95.03127159,inactive,,0.0,C1=CC=C(C=C1)C2=CSC(=N2)NN
28935.0,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,active,37.11861321,89.41238983,inactive,,0.0,COP(=S)(OC)OC1=CC(=C(C=C1Cl)I)Cl
5284369.0,Nc1ccccc1C(=O)OC/C=C/c1ccccc1,active,37.19412148,110.6450044,inactive,,0.0,C1=CC=C(C=C1)/C=C/COC(=O)C2=CC=CC=C2N
5897.0,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,active,37.68554668,146.3737936,inactive,,0.0,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2
86367.0,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,active,38.57077887,140.4635253,inactive,,0.0,CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3
8433.0,O=C(CC(=O)c1ccccc1)c1ccccc1,active,39.88507865,131.0276242,inactive,,0.0,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2
25912.0,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,active,41.64776902,106.917244,inactive,,0.0,CN(C(=O)NC1=CC(=C(C=C1)Br)Cl)OC
7327.0,O=S(=O)(Oc1ccc(Cl)cc1Cl)c1ccccc1,active,41.64776902,99.27667895,inactive,,0.0,C1=CC=C(C=C1)S(=O)(=O)OC2=C(C=C(C=C2)Cl)Cl
78170.0,COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,active,41.64776902,103.9383763,inactive,,0.0,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)Cl)OC
25127.0,CCOC(=O)c1ccc(N(C)C)cc1,active,41.64776902,87.86839928,inactive,,0.0,CCOC(=O)C1=CC=C(C=C1)N(C)C
20701.0,CCCCCCCCCCCCCCCCCC(=O)O,active,44.65028973,144.7494181,inactive,,0.0,CCCCCCCCCCCCCCCCCC(=O)[O-].C(CO)[NH+](CCO)CCO
36565.0,CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],active,48.55773367,106.4262047,inactive,,0.0,CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
12932.0,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,active,48.55773367,82.00018986,inactive,,0.0,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1
608116.0,CC(c1ccc(O)cc1)c1ccc(O)cc1,active,49.14320737,109.7019112,inactive,,0.0,CC(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
36679.0,CC(C)c1ccc(NC(=O)N(C)C)cc1,active,50.40611581,84.32593993,inactive,,0.0,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C
96088.0,Oc1ccc2c(c1)-c1ccccc1C2,active,50.45742408,140.5944222,inactive,,0.0,C1C2=C(C=C(C=C2)O)C3=CC=CC=C31
7070.0,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,active,50.83801258,96.97462852,inactive,,0.0,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N
7103.0,Oc1ccc(-c2ccccc2)cc1,active,51.73903933,89.15792527,inactive,,0.0,C1=CC=C(C=C1)C2=CC=C(C=C2)O
62276.0,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],active,52.16494734,86.0597449,inactive,,0.0,CCOC(=O)C(C)OC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-]
84677.0,Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,active,52.32481263,86.96861288,inactive,,0.0,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)O)O
5387121.0,O=C(/N=N/C(=O)OCc1ccccc1)OCc1ccccc1,active,54.48267328,109.5035536,inactive,,0.0,C1=CC=C(C=C1)COC(=O)/N=N/C(=O)OCC2=CC=CC=C2
7490.0,CN(C)c1ccc(N(C)C)cc1,active,54.64893384,81.39279068,inactive,,0.0,CN(C)C1=CC=C(C=C1)N(C)C
16043.0,CC(C)(C)c1cc(O)ccc1O,active,55.75173777,92.83146907,inactive,,0.0,CC(C)(C)C1=C(C=CC(=C1)O)O
4764.0,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,active,56.21138438,188.6976167,inactive,,0.0,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O
9839306.0,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,active,56.21138438,88.39467694,inactive,,0.0,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC#C
7563.0,Oc1ccc(Cc2ccccc2)cc1,active,56.55957695,86.57230084,inactive,,0.0,C1=CC=C(C=C1)CC2=CC=C(C=C2)O
21387.0,Oc1ccc2ccc3cccc4ccc1c2c34,active,56.61416098,102.2067169,inactive,,0.0,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)O
27189.0,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,active,56.61416098,90.66742358,inactive,,0.0,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21
27195.0,O=C(Nc1ccccc1)c1ccccc1I,active,56.61416098,81.79777137,inactive,,0.0,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I
146540.0,NNCc1ccccc1,active,57.65206245,155.035092,inactive,,0.0,C1=CC=C(C=C1)CNN.Cl.Cl
74867.0,CC(=O)c1ccc2ccc3ccccc3c2c1,active,58.47026331,118.1929858,inactive,,0.0,CC(=O)C1=CC2=C(C=CC3=CC=CC=C32)C=C1
75547.0,Oc1ccc2c(c1)Cc1ccccc1-2,active,58.82903739,107.9818073,inactive,,0.0,C1C2=CC=CC=C2C3=C1C=C(C=C3)O
10220256.0,COC1=CC(=O)O[C@@H](CCc2ccccc2)C1,active,60.0664267,93.18712504,inactive,,0.0,COC1=CC(=O)O[C@H](C1)CCC2=CC=CC=C2
7013.0,c1ccc(Nc2cccc3ccccc23)cc1,active,60.76243915,97.89388732,inactive,,0.0,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32
22584.0,Nc1ccc(N)c(Cl)c1,active,61.13056486,80.46736158,inactive,,0.0,C1=CC(=C(C=C1N)Cl)N.OS(=O)(=O)O
8442.0,CCCCCCCC[S+]([O-])C(C)Cc1ccc2c(c1)OCO2,active,62.31362547,113.4668211,inactive,,0.0,CCCCCCCCS(=O)C(C)CC1=CC2=C(C=C1)OCO2
444212.0,O=C(O)C=C(CC(=O)O)C(=O)O,inactive,,0.0,inactive,,0.0,C(/C(=C\C(=O)O)/C(=O)O)C(=O)O
637566.0,CC(C)=CCC/C(C)=C/CO,inactive,,0.0,inactive,,0.0,CC(=CCC/C(=C/CO)/C)C
79472.0,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,inactive,,0.0,inactive,,0.0,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl
10664.0,Cc1ncc(CO)c(CN)c1O,inactive,,0.0,inactive,,0.0,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl
8739.0,NS(=O)(=O)c1ccc(C(=O)O)cc1,inactive,,0.0,inactive,,0.0,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N
4904.0,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,inactive,,0.0,inactive,,0.0,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
65708.0,O=C(O)CCc1nc2ccccc2[nH]1,inactive,,0.0,inactive,,0.0,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O
439524.0,CC(C)CC(N)C(=O)O,inactive,,0.0,inactive,,0.0,CC(C)C[C@H](C(=O)O)N
7329.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,inactive,,0.0,inactive,,0.0,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O
2333.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,inactive,,0.0,inactive,,0.0,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
546.0,O=C(O)CP(=O)(O)O,inactive,,0.0,inactive,,0.0,C(C(=O)O)P(=O)(O)O
5694.0,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,inactive,,0.0,inactive,,0.0,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C
4614.0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,inactive,,0.0,inactive,,0.0,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3
2266.0,O=C(O)CCCCCCCC(=O)O,inactive,,0.0,inactive,,0.0,C(CCCC(=O)O)CCCC(=O)O
180559.0,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,inactive,,0.0,inactive,,0.0,CC(C)NC[C@H](COC1=CC=C(C=C1)CC(=O)N)O
1727.0,Nc1ccncc1,inactive,,0.0,inactive,,0.0,C1=CN=CC=C1N
2081.0,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,inactive,,0.0,inactive,,0.0,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N
1989.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,inactive,,0.0,inactive,,0.0,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
2130.0,NC12CC3CC(CC(C3)C1)C2,inactive,,0.0,inactive,,0.0,C1C2CC3CC1CC(C2)(C3)N
5283389.0,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,inactive,,0.0,inactive,,0.0,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O
6114.0,CC(=O)OC(C)C[N+](C)(C)C,inactive,,0.0,inactive,,0.0,CC(C[N+](C)(C)C)OC(=O)C.[Cl-]
1935.0,Nc1c2c(nc3ccccc13)CCCC2,inactive,,0.0,inactive,,0.0,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
135398513.0,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,inactive,,0.0,inactive,,0.0,C1=NC2=C(N1COCCO)N=C(NC2=O)N
2244.0,CC(=O)Oc1ccccc1C(=O)O,inactive,,0.0,inactive,,0.0,CC(=O)OC1=CC=CC=C1C(=O)O
71417.0,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,inactive,,0.0,inactive,,0.0,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)C.Cl
2141.0,NCCCNCCSP(=O)(O)O,inactive,,0.0,inactive,,0.0,C(CN)CNCCSP(=O)(O)O
1986.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,inactive,,0.0,inactive,,0.0,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
2230.0,COC(=O)C1=CCCN(C)C1,inactive,,0.0,inactive,,0.0,CN1CCC=C(C1)C(=O)OC
