RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
53,144209614,7031,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,Active,49,active agonist,active agonist,3.604317447,28.43268639,inconclusive antagonist,60.5094,-70.9129,SigmaAldrich
54,251919681,28531,C1=CC=C(C=C1)OC2=C(C3=C(C(=C2)O)C(=O)C4=CC=CC=C4C3=O)N,Active,56,active agonist,active agonist,3.616324626,46.60345635,inactive,,0,LightBiologicals
55,170466489,243274,CCOC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,Active,51,active agonist,active agonist,3.616324626,32.93608268,inactive,,0,Bosche
56,144207256,7248,CC1=C(C=C(C=C1)N)C,Active,52,active agonist,active agonist,3.670960647,35.8428383,inactive,,0,SIGMA
57,251919938,12855,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,Active,52,active agonist,active agonist,3.711861321,36.75795159,inconclusive antagonist,68.5896,-30.7101,Sigma Chemical Company
58,144210942,11285653,CO/C=C(\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC,Active,63,active agonist,active agonist,3.853155768,68.55964257,active antagonist,5.65566,-45.4537,SIGMA
59,144212341,2361,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43,Active,80,active agonist,active agonist,3.857077887,119.2665027,inactive,,0,Acros
60,144212145,3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,Active,48,active agonist,active agonist,3.857077887,26.22031067,inactive,,0,SIGMA
61,144206861,9570475,C/C(=N\O)/C1=CC=C(C=C1)OCC(=O)N2CCCCC2,Active,52,active agonist,active agonist,3.90481751,37.57268069,inactive,,0,Pharmaron
62,144206814,10455790,C1CN2C(=O)[C@@H](N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5,Active,50,active agonist,active agonist,3.90481751,30.62891085,inactive,,0,Pharmaron
63,144209684,10771,C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)N)N.Cl,Active,55,active agonist,active agonist,3.922534661,46.39103322,active antagonist,47.5226,-68.1694,SigmaAldrich
64,144207434,22571,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,Active,52,active agonist,active agonist,4.00797566,37.96338097,inactive,,0,SIGMA
65,170466068,72416,CCO[C@@H]1[C@@H]([C@@H]2CC[C@H]([C@H]3[C@]24[C@H](O1)OC(CC3)(OO4)C)C)C,Active,65,active agonist,active agonist,4.21632496,77.39977876,inactive,,0,GVK
66,144209702,6731,C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O,Active,68,active agonist,active agonist,4.285033921,86.54986226,inactive,,0,SIGMA
67,144213063,638024,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,Active,59,active agonist,active agonist,4.497022655,59.42247352,inactive,,0,SIGMA
68,144210518,66166,CCC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Active,53,active agonist,active agonist,4.497022655,40.83280754,inactive,,0,LightBiologicals
69,144211016,5273469,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2,Active,46,active agonist,active agonist,4.855773367,22.28936251,inactive,,0,Acros
70,144213361,24744,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC,Active,52,active agonist,active agonist,4.855773367,39.62497378,inactive,,0,Waterstone
71,170465481,7547,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,Active,50,active agonist,active agonist,4.915873991,34.19285574,active antagonist,18.8336,-52.234,Specs
72,144211994,243274,CCOC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,Active,52,active agonist,active agonist,5.045742408,39.55073503,inactive,,0,SIGMA
73,144208879,6702,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,Active,59,active agonist,active agonist,5.184546174,63.89383665,active antagonist,50.8601,-53.3139,SIGMA
74,144211122,4936,CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,Active,46,active agonist,active agonist,5.243143476,22.51464573,active antagonist,7.69588,-44.3321,ChemService
75,170464939,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,Active,53,active agonist,active agonist,5.308038637,42.99653072,inactive,,0,Labotest
76,170466472,24405,CC(=CCNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C,Active,50,active agonist,active agonist,5.308038637,35.13885965,active antagonist,3.10171,-48.2914,GVK
77,170466223,40854,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,Active,47,active agonist,active agonist,5.308038637,25.65724508,inactive,,0,Vitas
78,144208842,41385,CC1=C(S(=O)(=O)CCS1(=O)=O)C,Active,49,active agonist,active agonist,5.348689088,29.74739771,inactive,,0,ChemService
79,144211008,40326,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,Active,62,active agonist,active agonist,5.448267328,73.66078779,inactive,,0,SIGMA
80,251919940,166480,CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C,Active,62,active agonist,active agonist,5.448267328,75.9207123,active antagonist,71.273,-43.171,Sigma Chemical Company
81,144211887,4767,CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C,Active,57,active agonist,active agonist,5.448267328,56.27122142,inactive,,0,LightBiologicals
82,144211287,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,Active,52,active agonist,active agonist,5.448267328,42.02163633,inactive,,0,Enamine
83,170466412,159977,CN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C,Active,49,active agonist,active agonist,5.477844845,32.60131359,inactive,,0,Labotest
84,170466270,107641,CCC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,Active,50,active agonist,active agonist,5.515701337,35.124596,inactive,,0,GVK
85,144207304,6035,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O,Active,53,active agonist,active agonist,5.531481782,43.75055457,inactive,,0,SIGMA
86,144213339,5934,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,Active,52,active agonist,active agonist,5.661416098,42.77404356,active antagonist,0.863492,-35.9756,Sigma DiscoveryCPR
87,144213946,73864,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)(C(F)(F)F)C(F)(F)F)O,Active,48,active agonist,active agonist,5.661416098,27.43701247,inactive,,0,LightBiologicals
88,144209437,13089,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,Active,61,active agonist,active agonist,5.695977872,72.76874737,inactive,,0,ChemService
89,170464897,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Active,47,active agonist,active agonist,5.731488281,25.72342994,inactive,,0,Vitas
90,144210136,44368,CC1=C2C=C3C=CC4=C5C3=C(C2=CC=C1)C=CC5=CC=C4,Active,57,active agonist,active agonist,5.794092438,60.22106662,active agonist,52.6403,153.383,SIGMA
91,144209420,66166,CCC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Active,50,active agonist,active agonist,5.876921633,37.06559936,inactive,,0,Sensient
92,170465434,176870,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,Active,54,active agonist,active agonist,5.955717307,48.28660883,inactive,,0,Sequoia
93,144209703,5889,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,Active,46,active agonist,active agonist,6.041839684,22.93522179,inactive,,0,SIGMA
